Description,N,DE,P.DE,FDR,SigGenesInSet
Sulfur cycle,2,0,1.000000000000001,1,
Caffeine metabolism,6,0,1.0000000000000013,1,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,30,0,1.0000000000000013,1,
Biotin metabolism,3,0,1.0000000000000013,1,
Virion - Lassa virus and SFTS virus,17,0,1.0000000000000013,1,
Circadian rhythm,34,0,1.0000000000000013,1,
Tyrosine metabolism,36,0,1.0000000000000016,1,
Non-homologous end-joining,13,0,1.0000000000000016,1,
Mismatch repair,23,0,1.0000000000000018,1,
One carbon pool by folate,37,0,1.000000000000002,1,
Taurine and hypotaurine metabolism,16,0,1.0000000000000022,1,
Starch and sucrose metabolism,35,0,1.0000000000000022,1,
Terpenoid backbone biosynthesis,24,0,1.0000000000000022,1,
Glycosphingolipid biosynthesis - globo and isoglobo series,16,0,1.0000000000000027,1,
