Description,N,DE,P.DE,FDR,SigGenesInSet
Virion - Hepatitis viruses,48,0,1,1,
PPAR signaling pathway,76,0,1,1,
Base excision repair,44,0,1,1,
Nucleotide excision repair,62,0,1,1,
Mismatch repair,23,0,1,1,
Homologous recombination,41,0,1,1,
Non-homologous end-joining,13,0,1,1,
Fanconi anemia pathway,53,0,1,1,
Viral protein interaction with cytokine and cytokine receptor,99,0,1,1,
NF-kappa B signaling pathway,104,0,1,1,
Oocyte meiosis,127,0,1,1,
p53 signaling pathway,75,0,1,1,
Sulfur relay system,8,0,1,1,
Mitophagy - animal,102,0,1,1,
Phagocytosis,251,0,1,1,
Integrated stress response (ISR) signaling pathway,51,0,1,1,
Apoptosis,136,0,1,1,
Longevity regulating pathway - multiple species,61,0,1,1,
Ferroptosis,41,0,1,1,
Necroptosis,160,0,1,1,
Cardiac muscle contraction,83,0,1,1,
Notch signaling pathway,62,0,1,1,
Hedgehog signaling pathway,56,0,1,1,
VEGF signaling pathway,59,0,1,1,
ECM-receptor interaction,89,0,1,1,
Complement and coagulation cascades,88,0,1,1,
Toll-like receptor signaling pathway,108,0,1,1,
RIG-I-like receptor signaling pathway,72,0,1,1,
Cytosolic DNA-sensing pathway,82,0,1,1,
C-type lectin receptor signaling pathway,104,0,1,1,
Hematopoietic cell lineage,93,0,1,1,
Natural killer cell mediated cytotoxicity,125,0,1,1,
IL-17 signaling pathway,93,0,1,1,
Th1 and Th2 cell differentiation,91,0,1,1,
T cell receptor signaling pathway,118,0,1,1,
B cell receptor signaling pathway,82,0,1,1,
Fc epsilon RI signaling pathway,67,0,1,1,
Fc gamma R-mediated phagosome formation,96,0,1,1,
Leukocyte transendothelial migration,114,0,1,1,
Intestinal immune network for IgA production,46,0,1,1,
Synaptic vesicle cycle,78,0,1,1,
Neurotrophin signaling pathway,119,0,1,1,
Phototransduction,28,0,1,1,
Ovarian steroidogenesis,52,0,1,1,
Progesterone-mediated oocyte maturation,98,0,1,1,
Prolactin signaling pathway,70,0,1,1,
Adipocytokine signaling pathway,70,0,1,1,
Regulation of lipolysis in adipocytes,58,0,1,1,
Type II diabetes mellitus,46,0,1,1,
Non-alcoholic fatty liver disease,151,0,1,1,
Alcoholic liver disease,143,0,1,1,
Type I diabetes mellitus,42,0,1,1,
Maturity onset diabetes of the young,26,0,1,1,
Aldosterone-regulated sodium reabsorption,37,0,1,1,
Proximal tubule bicarbonate reclamation,23,0,1,1,
Collecting duct acid secretion,27,0,1,1,
Protein digestion and absorption,102,0,1,1,COL10A1
Fat digestion and absorption,43,0,1,1,
Bile secretion,89,0,1,1,
Cholesterol metabolism,52,0,1,1,
Epithelial cell signaling in Helicobacter pylori infection,70,0,1,1,
Pertussis,77,0,1,1,
Legionellosis,56,0,1,1,
Yersinia infection,135,0,1,1,
Leishmaniasis,75,0,1,1,
Malaria,50,0,1,1,
Toxoplasmosis,110,0,1,1,
Staphylococcus aureus infection,93,0,1,1,
Measles,135,0,1,1,
Influenza A,168,0,1,1,
Herpes simplex virus 1 infection,176,0,1,1,
Epstein-Barr virus infection,201,0,1,1,RB1
Human immunodeficiency virus 1 infection,212,0,1,1,
Coronavirus disease,234,0,1,1,
Transcriptional misregulation in cancer,193,0,1,1,
Chemical carcinogenesis - DNA adducts,70,0,1,1,
MicroRNAs in cancer,318,0,1,1,
Renal cell carcinoma,68,0,1,1,
Thyroid cancer,37,0,1,1,
Basal cell carcinoma,63,0,1,1,
Acute myeloid leukemia,67,0,1,1,
Small cell lung cancer,92,0,1,1,RB1
Central carbon metabolism in cancer,70,0,1,1,
Asthma,29,0,1,1,
Autoimmune thyroid disease,51,0,1,1,
Systemic lupus erythematosus,122,0,1,1,
Rheumatoid arthritis,91,0,1,1,
Allograft rejection,36,0,1,1,
Graft-versus-host disease,39,0,1,1,
Primary immunodeficiency,36,0,1,1,
Hypertrophic cardiomyopathy,99,0,1,1,
Arrhythmogenic right ventricular cardiomyopathy,86,0,1,1,
Dilated cardiomyopathy,104,0,1,1,PLN
Biosynthesis of various nucleotide sugars,19,0,1.0000000000000002,1,
Ascorbate and aldarate metabolism,31,0,1.0000000000000004,1,
Linoleic acid metabolism,30,0,1.0000000000000004,1,
Thiamine metabolism,15,0,1.0000000000000004,1,
Biotin metabolism,3,0,1.0000000000000004,1,
Virion - Human immunodeficiency virus,5,0,1.0000000000000004,1,
Virion - Lassa virus and SFTS virus,17,0,1.0000000000000004,1,
Hippo signaling pathway - multiple species,29,0,1.0000000000000004,1,
beta-Alanine metabolism,31,0,1.0000000000000009,1,
Glycosaminoglycan biosynthesis - keratan sulfate,14,0,1.0000000000000009,1,
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",12,0,1.0000000000000009,1,
Virion - Adenovirus,4,0,1.0000000000000009,1,
Phenylalanine metabolism,16,0,1.000000000000001,1,
Folate transport and metabolism,30,0,1.000000000000001,1,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,0,1.0000000000000013,1,
Antifolate resistance,30,0,1.0000000000000013,1,
Virion - Flavivirus and Alphavirus,6,0,1.0000000000000016,1,
Pentose phosphate pathway,31,0,1.0000000000000018,1,
